Comment,Designator,Footprint,LCSC
AZ1117IH-3.3TRG1,U1,SOT230P700X185-4N,C108495
MCP73831-2-OT,U3,SOT-23-5,C14879
10µF,C1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C15850
2K,R2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17379
10K,R3,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17414
6.8K,R4,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17772
4.7µF,"C7,C8,C9",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1779
SW_SPDT,"SW1,SW3",mySwitch,C2890358
LED,D1,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C34499
0.47K,R1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C4310
L293D,U2,DIP-16_W7.62mm,C434590
22µF,C2,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C45783
